Movie,Director,Cast
Boyhood,Richard Linklater,Libby Villari
Boyhood,Richard Linklater,Lorelei Linklater
Boyhood,Richard Linklater,Marco Perella
Boyhood,Richard Linklater,Patricia Arquette
Boyhood,Richard Linklater,Steven Chester Prince
Three Colors: Red,Krzysztof Kieslowski,Bernard Escalon
Three Colors: Red,Krzysztof Kieslowski,Brigitte Raul
Three Colors: Red,Krzysztof Kieslowski,Elzbieta Jasinska
Three Colors: Red,Krzysztof Kieslowski,Frédérique Feder
Three Colors: Red,Krzysztof Kieslowski,Jean Schlegel
Three Colors: Red,Krzysztof Kieslowski,Jean-Marie Daunas
Three Colors: Red,Krzysztof Kieslowski,Jean-Pierre Lorit
Three Colors: Red,Krzysztof Kieslowski,Leo Ramseyer
Three Colors: Red,Krzysztof Kieslowski,Marion Stalens
Three Colors: Red,Krzysztof Kieslowski,Paul Vermeulen
Three Colors: Red,Krzysztof Kieslowski,Roland Carey
Three Colors: Red,Krzysztof Kieslowski,Samuel Le Bihan
Three Colors: Red,Krzysztof Kieslowski,Teco Celio
Three Colors: Red,Krzysztof Kieslowski,Irène Jacob
Three Colors: Red,Krzysztof Kieslowski,Jean-Louis Trintignant
Vertigo,Alfred Hitchcock,Danny Borzage
Vertigo,Alfred Hitchcock,Isabel Analla
Vertigo,Alfred Hitchcock,Jack Ano
Vertigo,Alfred Hitchcock,John Benson
Vertigo,Alfred Hitchcock,Margaret Bacon
Vertigo,Alfred Hitchcock,Barbara Bel Geddes
Vertigo,Alfred Hitchcock,David Ahdar
Vertigo,Alfred Hitchcock,Ellen Corby
Vertigo,Alfred Hitchcock,Henry Jones
Vertigo,Alfred Hitchcock,James Stewart
Vertigo,Alfred Hitchcock,Kim Novak
Vertigo,Alfred Hitchcock,Konstantin Shayne
Vertigo,Alfred Hitchcock,Lee Patrick
Vertigo,Alfred Hitchcock,Raymond Bailey
Vertigo,Alfred Hitchcock,Tom Helmore
Notorious,Alfred Hitchcock,Bernice Barrett
Notorious,Alfred Hitchcock,Charles Mendl
Notorious,Alfred Hitchcock,E.A. Krumschmidt
Notorious,Alfred Hitchcock,Fay Baker
Notorious,Alfred Hitchcock,Ricardo Costa
Notorious,Alfred Hitchcock,Alexis Minotis
Notorious,Alfred Hitchcock,Cary Grant
Notorious,Alfred Hitchcock,Claude Rains
Notorious,Alfred Hitchcock,Ingrid Bergman
Notorious,Alfred Hitchcock,Ivan Triesault
Notorious,Alfred Hitchcock,Leopoldine Konstantin
Notorious,Alfred Hitchcock,Louis Calhern
Notorious,Alfred Hitchcock,Moroni Olsen
Notorious,Alfred Hitchcock,Reinhold Schünzel
Notorious,Alfred Hitchcock,Wally Brown
Singin' in the Rain,Gene Kelly,Bette Arlen
Singin' in the Rain,Gene Kelly,Betty Allen
Singin' in the Rain,Gene Kelly,Jimmy Bates
Singin' in the Rain,Gene Kelly,Marie Ardell
Singin' in the Rain,Gene Kelly,Sue Allen
Singin' in the Rain,Gene Kelly,Cyd Charisse
Singin' in the Rain,Gene Kelly,Dawn Addams
Singin' in the Rain,Gene Kelly,Debbie Reynolds
Singin' in the Rain,Gene Kelly,Donald O'Connor
Singin' in the Rain,Gene Kelly,Douglas Fowley
Singin' in the Rain,Gene Kelly,Gene Kelly
Singin' in the Rain,Gene Kelly,Jean Hagen
Singin' in the Rain,Gene Kelly,John Albright
Singin' in the Rain,Gene Kelly,Millard Mitchell
Singin' in the Rain,Gene Kelly,Rita Moreno
Singin' in the Rain,Stanley Donen,Bette Arlen
Singin' in the Rain,Stanley Donen,Betty Allen
Singin' in the Rain,Stanley Donen,Jimmy Bates
Singin' in the Rain,Stanley Donen,Marie Ardell
Singin' in the Rain,Stanley Donen,Sue Allen
Singin' in the Rain,Stanley Donen,Cyd Charisse
Singin' in the Rain,Stanley Donen,Dawn Addams
Singin' in the Rain,Stanley Donen,Debbie Reynolds
Singin' in the Rain,Stanley Donen,Donald O'Connor
Singin' in the Rain,Stanley Donen,Douglas Fowley
Singin' in the Rain,Stanley Donen,Gene Kelly
Singin' in the Rain,Stanley Donen,Jean Hagen
Singin' in the Rain,Stanley Donen,John Albright
Singin' in the Rain,Stanley Donen,Millard Mitchell
Singin' in the Rain,Stanley Donen,Rita Moreno
City Lights,Charles Chaplin,Al Ernest Garcia
City Lights,Charles Chaplin,Albert Austin
City Lights,Charles Chaplin,Betty Blair
City Lights,Charles Chaplin,Buster Brodie
City Lights,Charles Chaplin,Eddie Baker
City Lights,Charles Chaplin,Florence Lee
City Lights,Charles Chaplin,Hank Mann
City Lights,Charles Chaplin,Harry Ayers
City Lights,Charles Chaplin,Harry Myers
City Lights,Charles Chaplin,Henry Bergman
City Lights,Charles Chaplin,Jack Alexander
City Lights,Charles Chaplin,T.S. Alexander
City Lights,Charles Chaplin,Victor Alexander
City Lights,Charles Chaplin,Charles Chaplin
City Lights,Charles Chaplin,Virginia Cherrill
Moonlight,Barry Jenkins,Alex R. Hibbert
Moonlight,Barry Jenkins,Andre Holland
Moonlight,Barry Jenkins,Ashton Sanders
Moonlight,Barry Jenkins,Duan 'Sandy' Sanderson
Moonlight,Barry Jenkins,Duan Sanderson
Moonlight,Barry Jenkins,Duan'Sandy' Sanderson
Moonlight,Barry Jenkins,Eddie Blanchard
Moonlight,Barry Jenkins,Edson Jean
Moonlight,Barry Jenkins,Herman 'Caheei McGloun
Moonlight,Barry Jenkins,Jaden Piner
Moonlight,Barry Jenkins,Janelle Monáe
Moonlight,Barry Jenkins,Jharrel Jerome
Moonlight,Barry Jenkins,Kamal Ani-Bellow
Moonlight,Barry Jenkins,Keomi Givens
Moonlight,Barry Jenkins,Larry Anderson
Moonlight,Barry Jenkins,Mahershala Ali
Moonlight,Barry Jenkins,Naomie Harris
Moonlight,Barry Jenkins,Patrick Decile
Moonlight,Barry Jenkins,Rudi Goblen
Moonlight,Barry Jenkins,Rudi Goblin
Moonlight,Barry Jenkins,Shariff Earp
Moonlight,Barry Jenkins,Stephon Bron
Moonlight,Barry Jenkins,Tanisha Cidel
Moonlight,Barry Jenkins,Trevante Rhodes
Moonlight,Barry Jenkins,Alex R. Hibbert
Moonlight,Barry Jenkins,Ashton Sanders
Moonlight,Barry Jenkins,Duan Sanderson
Moonlight,Barry Jenkins,Herman 'Caheei McGloun
Moonlight,Barry Jenkins,Jaden Piner
Moonlight,Barry Jenkins,Janelle Monáe
Moonlight,Barry Jenkins,Mahershala Ali
Moonlight,Barry Jenkins,Naomie Harris
Moonlight,Barry Jenkins,Shariff Earp
Intolerance,D.W. Griffith,Dore Davidson
Intolerance,D.W. Griffith,Edward Dillon
Intolerance,D.W. Griffith,Elmer Clifton
Intolerance,D.W. Griffith,Frank Bennett
Intolerance,D.W. Griffith,Josephine Crowell
Intolerance,D.W. Griffith,Lucille Browne
Intolerance,D.W. Griffith,Mary Alden
Intolerance,D.W. Griffith,Miriam Cooper
Intolerance,D.W. Griffith,Monte Blue
Intolerance,D.W. Griffith,Pearl Elmore
Intolerance,D.W. Griffith,Sam De Grasse
Intolerance,D.W. Griffith,Spottiswoode Aitken
Intolerance,D.W. Griffith,Taylor N. Duncan
Intolerance,D.W. Griffith,William H. Brown
Intolerance,D.W. Griffith,Lillian Gish
Pinocchio,Ben Sharpsteen,Clarence Nash
Pinocchio,Ben Sharpsteen,Jack Mercer
Pinocchio,Ben Sharpsteen,John McLeish
Pinocchio,Ben Sharpsteen,Mae Questel
Pinocchio,Ben Sharpsteen,Patricia Page
Pinocchio,Ben Sharpsteen,Thurl Ravenscroft
Pinocchio,Ben Sharpsteen,Charles Judels
Pinocchio,Ben Sharpsteen,Cliff Edwards
Pinocchio,Ben Sharpsteen,Dickie Jones
Pinocchio,Ben Sharpsteen,Don Brodie
Pinocchio,Ben Sharpsteen,Frankie Darro
Pinocchio,Ben Sharpsteen,Marion Darlington
Pinocchio,Ben Sharpsteen,Mel Blanc
Pinocchio,Ben Sharpsteen,Stuart Buchanan
Pinocchio,Ben Sharpsteen,Walter Catlett
Pinocchio,Bill Roberts,Clarence Nash
Pinocchio,Bill Roberts,Jack Mercer
Pinocchio,Bill Roberts,John McLeish
Pinocchio,Bill Roberts,Mae Questel
Pinocchio,Bill Roberts,Patricia Page
Pinocchio,Bill Roberts,Thurl Ravenscroft
Pinocchio,Bill Roberts,Charles Judels
Pinocchio,Bill Roberts,Cliff Edwards
Pinocchio,Bill Roberts,Dickie Jones
Pinocchio,Bill Roberts,Don Brodie
Pinocchio,Bill Roberts,Frankie Darro
Pinocchio,Bill Roberts,Marion Darlington
Pinocchio,Bill Roberts,Mel Blanc
Pinocchio,Bill Roberts,Stuart Buchanan
Pinocchio,Bill Roberts,Walter Catlett
Pinocchio,Hamilton Luske,Clarence Nash
Pinocchio,Hamilton Luske,Jack Mercer
Pinocchio,Hamilton Luske,John McLeish
Pinocchio,Hamilton Luske,Mae Questel
Pinocchio,Hamilton Luske,Patricia Page
Pinocchio,Hamilton Luske,Thurl Ravenscroft
Pinocchio,Hamilton Luske,Charles Judels
Pinocchio,Hamilton Luske,Cliff Edwards
Pinocchio,Hamilton Luske,Dickie Jones
Pinocchio,Hamilton Luske,Don Brodie
Pinocchio,Hamilton Luske,Frankie Darro
Pinocchio,Hamilton Luske,Marion Darlington
Pinocchio,Hamilton Luske,Mel Blanc
Pinocchio,Hamilton Luske,Stuart Buchanan
Pinocchio,Hamilton Luske,Walter Catlett
Pinocchio,Jack Kinney,Clarence Nash
Pinocchio,Jack Kinney,Jack Mercer
Pinocchio,Jack Kinney,John McLeish
Pinocchio,Jack Kinney,Mae Questel
Pinocchio,Jack Kinney,Patricia Page
Pinocchio,Jack Kinney,Thurl Ravenscroft
Pinocchio,Jack Kinney,Charles Judels
Pinocchio,Jack Kinney,Cliff Edwards
Pinocchio,Jack Kinney,Dickie Jones
Pinocchio,Jack Kinney,Don Brodie
Pinocchio,Jack Kinney,Frankie Darro
Pinocchio,Jack Kinney,Marion Darlington
Pinocchio,Jack Kinney,Mel Blanc
Pinocchio,Jack Kinney,Stuart Buchanan
Pinocchio,Jack Kinney,Walter Catlett
Pinocchio,Norman Ferguson,Clarence Nash
Pinocchio,Norman Ferguson,Jack Mercer
Pinocchio,Norman Ferguson,John McLeish
Pinocchio,Norman Ferguson,Mae Questel
Pinocchio,Norman Ferguson,Patricia Page
Pinocchio,Norman Ferguson,Thurl Ravenscroft
Pinocchio,Norman Ferguson,Charles Judels
Pinocchio,Norman Ferguson,Cliff Edwards
Pinocchio,Norman Ferguson,Dickie Jones
Pinocchio,Norman Ferguson,Don Brodie
Pinocchio,Norman Ferguson,Frankie Darro
Pinocchio,Norman Ferguson,Marion Darlington
Pinocchio,Norman Ferguson,Mel Blanc
Pinocchio,Norman Ferguson,Stuart Buchanan
Pinocchio,Norman Ferguson,Walter Catlett
Pinocchio,T. Hee,Clarence Nash
Pinocchio,T. Hee,Jack Mercer
Pinocchio,T. Hee,John McLeish
Pinocchio,T. Hee,Mae Questel
Pinocchio,T. Hee,Patricia Page
Pinocchio,T. Hee,Thurl Ravenscroft
Pinocchio,T. Hee,Charles Judels
Pinocchio,T. Hee,Cliff Edwards
Pinocchio,T. Hee,Dickie Jones
Pinocchio,T. Hee,Don Brodie
Pinocchio,T. Hee,Frankie Darro
Pinocchio,T. Hee,Marion Darlington
Pinocchio,T. Hee,Mel Blanc
Pinocchio,T. Hee,Stuart Buchanan
Pinocchio,T. Hee,Walter Catlett
Pinocchio,Wilfred Jackson,Clarence Nash
Pinocchio,Wilfred Jackson,Jack Mercer
Pinocchio,Wilfred Jackson,John McLeish
Pinocchio,Wilfred Jackson,Mae Questel
Pinocchio,Wilfred Jackson,Patricia Page
Pinocchio,Wilfred Jackson,Thurl Ravenscroft
Pinocchio,Wilfred Jackson,Charles Judels
Pinocchio,Wilfred Jackson,Cliff Edwards
Pinocchio,Wilfred Jackson,Dickie Jones
Pinocchio,Wilfred Jackson,Don Brodie
Pinocchio,Wilfred Jackson,Frankie Darro
Pinocchio,Wilfred Jackson,Marion Darlington
Pinocchio,Wilfred Jackson,Mel Blanc
Pinocchio,Wilfred Jackson,Stuart Buchanan
Pinocchio,Wilfred Jackson,Walter Catlett
Touch of Evil,Orson Welles,Joi Lansing
Touch of Evil,Orson Welles,Lalo Rios
Touch of Evil,Orson Welles,Michael Sargent
Touch of Evil,Orson Welles,Phil Harvey
Touch of Evil,Orson Welles,Victor Millan
Touch of Evil,Orson Welles,Akim Tamiroff
Touch of Evil,Orson Welles,Charlton Heston
Touch of Evil,Orson Welles,Dennis Weaver
Touch of Evil,Orson Welles,Janet Leigh
Touch of Evil,Orson Welles,Joanna Moore
Touch of Evil,Orson Welles,Joseph Calleia
Touch of Evil,Orson Welles,Mort Mills
Touch of Evil,Orson Welles,Orson Welles
Touch of Evil,Orson Welles,Ray Collins
Touch of Evil,Orson Welles,Valentin de Vargas
The Lady Vanishes,Alfred Hitchcock,Catherine Lacey
The Lady Vanishes,Alfred Hitchcock,Googie Withers
The Lady Vanishes,Alfred Hitchcock,Philip Leaver
The Lady Vanishes,Alfred Hitchcock,Sally Stewart
The Lady Vanishes,Alfred Hitchcock,Selma Vaz Dias
The Lady Vanishes,Alfred Hitchcock,Basil Radford
The Lady Vanishes,Alfred Hitchcock,Cecil Parker
The Lady Vanishes,Alfred Hitchcock,Dame May Whitty
The Lady Vanishes,Alfred Hitchcock,Emile Boreo
The Lady Vanishes,Alfred Hitchcock,Linden Travers
The Lady Vanishes,Alfred Hitchcock,Margaret Lockwood
The Lady Vanishes,Alfred Hitchcock,Mary Clare
The Lady Vanishes,Alfred Hitchcock,Michael Redgrave
The Lady Vanishes,Alfred Hitchcock,Naunton Wayne
The Lady Vanishes,Alfred Hitchcock,Paul Lukas
The Treasure of the Sierra Madre,John Huston,Guillermo Calles
The Treasure of the Sierra Madre,John Huston,Jacqueline Dalya
The Treasure of the Sierra Madre,John Huston,Robert Blake
The Treasure of the Sierra Madre,John Huston,Roberto Cañedo
The Treasure of the Sierra Madre,John Huston,Spencer Chan
The Treasure of the Sierra Madre,John Huston,Alfonso Bedoya
The Treasure of the Sierra Madre,John Huston,Arturo Soto Rangel
The Treasure of the Sierra Madre,John Huston,Barton MacLane
The Treasure of the Sierra Madre,John Huston,Bruce Bennett
The Treasure of the Sierra Madre,John Huston,Humphrey Bogart
The Treasure of the Sierra Madre,John Huston,José Torvay
The Treasure of the Sierra Madre,John Huston,Manuel Dondé
The Treasure of the Sierra Madre,John Huston,Margarito Luna
The Treasure of the Sierra Madre,John Huston,Tim Holt
The Treasure of the Sierra Madre,John Huston,Walter Huston
Pan's Labyrinth,Guillermo del Toro,Álex Angulo
Pan's Labyrinth,Guillermo del Toro,César Vea
Pan's Labyrinth,Guillermo del Toro,Doug Jones
Pan's Labyrinth,Guillermo del Toro,Eusebio Lázaro
Pan's Labyrinth,Guillermo del Toro,Francisco Vidal
Pan's Labyrinth,Guillermo del Toro,Gonzalo Uriarte
Pan's Labyrinth,Guillermo del Toro,Ivan Massagué
Pan's Labyrinth,Guillermo del Toro,Juanjo Cucalón
Pan's Labyrinth,Guillermo del Toro,Lina Mira
Pan's Labyrinth,Guillermo del Toro,Manolo Solo
Pan's Labyrinth,Guillermo del Toro,Maribel Verdú
Pan's Labyrinth,Guillermo del Toro,Roger Casamajor
Pan's Labyrinth,Guillermo del Toro,Ariadna Gil
Pan's Labyrinth,Guillermo del Toro,Ivana Baquero
Pan's Labyrinth,Guillermo del Toro,Sergi López
Some Like It Hot,Billy Wilder,Barbara Drew
Some Like It Hot,Billy Wilder,Beverly Wills
Some Like It Hot,Billy Wilder,Dave Barry
Some Like It Hot,Billy Wilder,Harry Wilson
Some Like It Hot,Billy Wilder,Mike Mazurki
Some Like It Hot,Billy Wilder,Billy Gray
Some Like It Hot,Billy Wilder,George E. Stone
Some Like It Hot,Billy Wilder,George Raft
Some Like It Hot,Billy Wilder,Jack Lemmon
Some Like It Hot,Billy Wilder,Joan Shawlee
Some Like It Hot,Billy Wilder,Joe E. Brown
Some Like It Hot,Billy Wilder,Marilyn Monroe
Some Like It Hot,Billy Wilder,Nehemiah Persoff
Some Like It Hot,Billy Wilder,Pat O'Brien
Some Like It Hot,Billy Wilder,Tony Curtis
North by Northwest,Alfred Hitchcock,Edward Binns
North by Northwest,Alfred Hitchcock,Les Tremayne
North by Northwest,Alfred Hitchcock,Patrick McVey
North by Northwest,Alfred Hitchcock,Philip Coolidge
North by Northwest,Alfred Hitchcock,Robert Ellenstein
North by Northwest,Alfred Hitchcock,Adam Williams
North by Northwest,Alfred Hitchcock,Cary Grant
North by Northwest,Alfred Hitchcock,Edward Platt
North by Northwest,Alfred Hitchcock,Eva Marie Saint
North by Northwest,Alfred Hitchcock,James Mason
North by Northwest,Alfred Hitchcock,Jessie Royce Landis
North by Northwest,Alfred Hitchcock,Josephine Hutchinson
North by Northwest,Alfred Hitchcock,Leo G. Carroll
North by Northwest,Alfred Hitchcock,Martin Landau
North by Northwest,Alfred Hitchcock,Philip Ober
Hoop Dreams,Steve James,Aretha Mitchell
Hoop Dreams,Steve James,Arthur 'Bo' Agee
Hoop Dreams,Steve James,Bill Gleason
Hoop Dreams,Steve James,Curtis Gates
Hoop Dreams,Steve James,Earl Smith
Hoop Dreams,Steve James,Emma Gates
Hoop Dreams,Steve James,Gene Pingatore
Hoop Dreams,Steve James,Isiah Thomas
Hoop Dreams,Steve James,Luther Bedford
Hoop Dreams,Steve James,Marjorie Heard
Hoop Dreams,Steve James,Marlyn Hopewell
Hoop Dreams,Steve James,Patricia Weir
Hoop Dreams,Steve James,Sheila Agee
Hoop Dreams,Steve James,Arthur Agee
Hoop Dreams,Steve James,William Gates
Rashomon,Akira Kurosawa,Daisuke Katô
Rashomon,Akira Kurosawa,Kichijir
Rashomon,Akira Kurosawa,Leslie Daniels
Rashomon,Akira Kurosawa,Machiko Kyô
Rashomon,Akira Kurosawa,Masayuki Mori
Rashomon,Akira Kurosawa,Minoru Chiaki
Rashomon,Akira Kurosawa,Noriko Honma
Rashomon,Akira Kurosawa,Takashi Shimura
Rashomon,Akira Kurosawa,Toshirô Mifune
All About Eve,Joseph L. Mankiewicz,Barbara White
All About Eve,Joseph L. Mankiewicz,Craig Hill
All About Eve,Joseph L. Mankiewicz,Leland Harris
All About Eve,Joseph L. Mankiewicz,Randy Stuart
All About Eve,Joseph L. Mankiewicz,Walter Hampden
All About Eve,Joseph L. Mankiewicz,Anne Baxter
All About Eve,Joseph L. Mankiewicz,Barbara Bates
All About Eve,Joseph L. Mankiewicz,Bette Davis
All About Eve,Joseph L. Mankiewicz,Celeste Holm
All About Eve,Joseph L. Mankiewicz,Gary Merrill
All About Eve,Joseph L. Mankiewicz,George Sanders
All About Eve,Joseph L. Mankiewicz,Gregory Ratoff
All About Eve,Joseph L. Mankiewicz,Hugh Marlowe
All About Eve,Joseph L. Mankiewicz,Marilyn Monroe
All About Eve,Joseph L. Mankiewicz,Thelma Ritter
Jules and Jim,François Truffaut,Anny Nelsen
Jules and Jim,François Truffaut,Bernard Largemain
Jules and Jim,François Truffaut,Danielle Bassiak
Jules and Jim,François Truffaut,Dominique Lacarrière
Jules and Jim,François Truffaut,Elen Bober
Jules and Jim,François Truffaut,Henri Serre
Jules and Jim,François Truffaut,Kate Noelle
Jules and Jim,François Truffaut,Marie Dubois
Jules and Jim,François Truffaut,Michel Subor
Jules and Jim,François Truffaut,Pierre Fabre
Jules and Jim,François Truffaut,Sabine Haudepin
Jules and Jim,François Truffaut,Serge Rezvani
Jules and Jim,François Truffaut,Vanna Urbino
Jules and Jim,François Truffaut,Jeanne Moreau
Jules and Jim,François Truffaut,Oskar Werner
The Wild Bunch,Sam Peckinpah,Albert Dekker
The Wild Bunch,Sam Peckinpah,Bo Hopkins
The Wild Bunch,Sam Peckinpah,Dub Taylor
The Wild Bunch,Sam Peckinpah,Jorge Russek
The Wild Bunch,Sam Peckinpah,Paul Harper
The Wild Bunch,Sam Peckinpah,Ben Johnson
The Wild Bunch,Sam Peckinpah,Edmond O'Brien
The Wild Bunch,Sam Peckinpah,Emilio Fernández
The Wild Bunch,Sam Peckinpah,Ernest Borgnine
The Wild Bunch,Sam Peckinpah,Jaime Sanchez
The Wild Bunch,Sam Peckinpah,L.Q. Jones
The Wild Bunch,Sam Peckinpah,Robert Ryan
The Wild Bunch,Sam Peckinpah,Strother Martin
The Wild Bunch,Sam Peckinpah,Warren Oates
The Wild Bunch,Sam Peckinpah,William Holden
My Left Foot,Jim Sheridan,Alison Whelan
My Left Foot,Jim Sheridan,Cyril Cusack
My Left Foot,Jim Sheridan,Declan Croghan
My Left Foot,Jim Sheridan,Derry Power
My Left Foot,Jim Sheridan,Eanna MacLiam
My Left Foot,Jim Sheridan,Fiona Shaw
My Left Foot,Jim Sheridan,Hugh O'Conor
My Left Foot,Jim Sheridan,Kirsten Sheridan
My Left Foot,Jim Sheridan,Marie Conmee
My Left Foot,Jim Sheridan,Pat Laffan
My Left Foot,Jim Sheridan,Phelim Drew
My Left Foot,Jim Sheridan,Ray McAnally
My Left Foot,Jim Sheridan,Ruth McCabe
My Left Foot,Jim Sheridan,Brenda Fricker
My Left Foot,Jim Sheridan,Daniel Day-Lewis
The Third Man,Carol Reed,Harold Ayer
The Third Man,Carol Reed,Harry Belcher
The Third Man,Carol Reed,Hedwig Bleibtreu
The Third Man,Carol Reed,Jack Arrow
The Third Man,Carol Reed,Nelly Arno
The Third Man,Carol Reed,Alida Valli
The Third Man,Carol Reed,Bernard Lee
The Third Man,Carol Reed,Erich Ponto
The Third Man,Carol Reed,Ernst Deutsch
The Third Man,Carol Reed,Joseph Cotten
The Third Man,Carol Reed,Orson Welles
The Third Man,Carol Reed,Paul Hörbiger
The Third Man,Carol Reed,Siegfried Breuer
The Third Man,Carol Reed,Trevor Howard
The Third Man,Carol Reed,Wilfrid Hyde-White
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Frank Berry
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Glenn Beck
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Hal Galili
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Jack Creley
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,James Earl Jones
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Keenan Wynn
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Peter Bull
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Robert O'Neil
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Roy Stephens
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Shane Rimmer
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Slim Pickens
